VOG	Allma1	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Anasp1	Batde5	Blabri1	Blyhe1	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecom1	Catan2	Caupr1	Caupr_SCcomb	Chyhya1	Chylag1	Chytri1	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Cladochytrium_tenue_C_tenue	Clapol1_1	Clarep1_1	Dinochytrium_kinnereticum_KLL_TL_06062013	Enthel1	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimjon1	Gaertneriomyces_sp	Gaesem1	Ganpr1	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Gervar1	Glopol1	Gorhay1	Hompol1	Hyacur1	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neosp1	Nowakowskiella_sp	Obemuc1	Orpsp1_1	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Parsed1	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	PirE2_1	Pirfi3	Podochytrium_sp	Polagg1_1	Powhir1	Quaeritorhiza_haematococci_JEL0916	Rhihy1	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spipu1	Thoreauomyces_humboldtii_JEL0095	Triarc1	Unknown_unknown_JEL0888
NCVOG0726																																													9.6e-15																														
NCVOG0727																																									2.9e-14																												1.3e-17						
NCVOG0728																																																						2.5e-11															5.7e-11						
NCVOG0729	3.5e-102	8.1e-102	1.1e-20	2.4e-17	1.6e-14	2.5e-24	4e-16		1.4e-44	3e-26	8e-15	6.2e-91	1.3e-43		2.2e-15	3.4e-14	2.8e-15	1.1e-13	3.1e-15	1.1e-19	3.3e-24	2.4e-15	1.1e-14	6.3e-16	1e-25	1.5e-18	1.4e-20		1.3e-16	1.8e-17	1.7e-16	1.3e-86	4.2e-85		2.8e-14	4.9e-14	2.2e-13	2.1e-13	1.1e-12	3.3e-14	2.7e-17	4.1e-74	5.3e-11	1e-25	4.3e-22	1.1e-21	3.1e-24	8.7e-25	3e-15	1e-37	4.5e-16	4.9e-14	1.9e-22	1.1e-74	1.6e-14	1.8e-14	1e-14	2.3e-23	1.3e-14	4.9e-16	9.3e-19	2.8e-13	8e-14	4e-18	2.3e-44	9.4e-21	3e-14	3.9e-22	1.9e-32	8.9e-18		1.3e-21	1.8e-16	2.7e-66	2.5e-19
NCVOG0733																																																														4.8e-12										3.5e-11			
NCVOG0743											2.2e-16						2.1e-23			1.8e-26				5.9e-17	2.8e-11									2.2e-16		2.9e-24					1.4e-16								1.4e-16	1.6e-20	5.1e-25	1.1e-13						1.2e-18			1.1e-29				1.2e-21	1.3e-15			1.1e-16	4e-36					5.2e-18
NCVOG0744	1.2e-11	9.9e-11	3.9e-17	1.3e-11	2.8e-11				1.3e-21	6.8e-19	3.6e-11			3.3e-11						1.7e-16				6.8e-16	1.3e-11	7.8e-12			2.4e-24	2.4e-23	8.5e-20	9.3e-24	2.3e-22	1.4e-20							2.4e-21	2.6e-12		5.8e-21		1e-20				3.2e-19						3e-13		7.8e-15	5.5e-11	3e-12	7.7e-15				6.6e-11	4.2e-15			1.1e-21	2.1e-16		3e-43		1.9e-11	1.4e-34
NCVOG0756																																																												6.5e-11													1.9e-12		
NCVOG0757				3.2e-19	2.6e-21						2.3e-16											4.1e-11																						3.1e-17	1.1e-29				1.9e-19			3.9e-13	1.3e-11					2.2e-12	1.1e-15	4.5e-20	4.1e-13			2.2e-18											7.7e-11
NCVOG0763	1.1e-11	1.1e-11		1.4e-11	1.2e-11	3e-11						1.9e-11	1.5e-11		2.8e-13	1.5e-15								1.1e-11	1.3e-14		1.1e-11							1.2e-11							2.1e-11	1.3e-11	6.4e-11					1.1e-11	1.1e-12		1.9e-12			4.5e-13	1.3e-12			1.1e-11	1.3e-12	2.3e-11		1.4e-13			1.2e-11		2.3e-13		1.2e-11			4.9e-15	1.1e-11	2.7e-17	
NCVOG0764				3.4e-12							5.9e-11																		1.5e-12				6.4e-13												4.8e-13								6.5e-11						8.1e-11	1.1e-11								2.8e-11	2.6e-14			1.2e-17	8e-11		
NCVOG0772																										4.1e-18																						2.1e-11						1.7e-17															1.8e-18						
NCVOG0775																																																1.2e-14										7.1e-12									2.9e-14								
NCVOG0777	1.8e-11	1.6e-14			1.3e-12	2e-18			2.7e-12	2e-11		1e-12	1.4e-11		1.2e-15	1.1e-18	1.7e-15	1.9e-14	1.1e-16	1.2e-11	1.9e-17	2.9e-14		1.1e-15	1.3e-16		1.2e-19				1.2e-14	1.1e-11	2.3e-12	1.1e-11	1.1e-14	1.5e-17	1.1e-23	1.4e-14	1.2e-12	1.1e-14	1.5e-11	6.4e-11	1.7e-13		5.5e-13		1.5e-11				5.5e-11		2.8e-13	3.3e-12	1.3e-18	4.3e-12			1.1e-11	1.1e-13		2.3e-15	1.3e-14		1.4e-12			1.4e-15	1.1e-11			3.2e-21	3.2e-11	1.2e-12	
NCVOG0778				1.3e-34						1.7e-46	2.6e-42				6.5e-42		1.9e-44	2.7e-52	2.5e-52	5.8e-20	4.5e-53	3.5e-41																			5.1e-14	1.6e-26				3.6e-25			1.3e-14	2.2e-82	9.9e-52	1.6e-21	1.8e-26					2.7e-58	1.3e-43	1.1e-19	3.7e-71		1.3e-30	2e-39	1.1e-36	1.2e-35			1.2e-13	1.7e-52				2.7e-29	
NCVOG0780										4.3e-36							7.7e-11																1.6e-14								1.2e-11				3.1e-40					5.1e-18					3.3e-11			1.3e-12									1.3e-15	9e-14	1.4e-15					1.4e-13	
NCVOG0782																																										2.4e-11																														3.5e-11			
NCVOG0785										3.5e-12												2.5e-12										5.5e-12																							5.7e-11							2.2e-13			7.8e-11		8e-12								
NCVOG0789				2.8e-11							3.8e-17																																3e-11				1.3e-16	5.6e-21	3.6e-12	8.4e-11		3.6e-14							5.2e-19	4.5e-18												6e-18			
NCVOG0800																																																1.1e-11																			7e-11								
NCVOG0806	1.4e-43	1.3e-52	1.9e-34		1.1e-41	1.4e-19	1.5e-12		1.3e-13	2.1e-20		1e-31			1.3e-30	5.1e-24	4.6e-30	1.1e-11	1.2e-40	1.1e-12	1.5e-29	2.1e-15	2.7e-126	1.1e-21	1.9e-13	1.9e-29	2e-30		2.8e-13	4.4e-47	1.2e-21	1e-98	2.3e-16	1.2e-46	1.5e-17	2.6e-16	2.1e-17	2.3e-45	1.5e-44	1.3e-11	1.4e-24	1.4e-52	3.2e-14	1.2e-45	6.2e-47	1.1e-49	1.5e-18	8.6e-19		1.1e-11	2.6e-30		1.2e-135	1.8e-32	2.2e-36	1.4e-27	1.1e-20	2.2e-36			1.2e-15	1.7e-12	2.5e-35	1.6e-13	1.4e-30	1.3e-13	3.3e-18	6.3e-22	1.1e-48	1.1e-35		3.7e-23	3.3e-19	1.2e-14	2.2e-95
NCVOG0816											1.2e-13																																		5.7e-22				1.3e-12																										1e-11
NCVOG0817									1.4e-64																																8.6e-49	1.8e-37											1.9e-46	8.7e-28															1.1e-23						
NCVOG0819																																													2.4e-11																														
NCVOG0820						5.4e-13			1.2e-15							1.1e-15									1.1e-19	1e-26								7.6e-14							4.1e-17									3e-20				2.2e-15		5.1e-12	2.2e-15												1.3e-18						2.1e-24
NCVOG0822				1.1e-11																1.2e-21				1.2e-11	1.2e-15	4.9e-11				2.2e-11			3.3e-11								3.2e-13	1.4e-11							1.1e-12	2.6e-13					2.7e-12			1e-17	1.1e-12	1.1e-14		1.5e-11		6.1e-15	1.1e-18	1.1e-18			1.8e-14	3.1e-13					2.5e-11
NCVOG0832	5.2e-11																																																													1.6e-11										1e-11			
NCVOG0835	1.2e-17	1.5e-17	3.3e-13		2.3e-14					2e-16		1.2e-12			1.5e-14	2.8e-11	2.1e-11	1.5e-18	5.3e-13	2.7e-14	7.1e-14	1e-19	3.6e-13			4.7e-16	4.2e-12		1.9e-12	8.5e-13											3.1e-18					2.1e-17					1.3e-18		1.5e-28			1.2e-24	1.9e-17	1.9e-13			1.4e-18	2.4e-13				6e-13	8.4e-35	8.3e-32	8.6e-16	1.1e-20			1.1e-13		1.6e-19
NCVOG0836	3.5e-13	1.7e-12	1.5e-15							1.2e-21		1e-18														1.3e-12																		6.2e-39						1.8e-21						7.2e-22	2.9e-11					9.5e-11		2.4e-18					5.3e-18						1.7e-15
NCVOG0840																																													1.9e-13																														
NCVOG0844									9.2e-11	6.6e-42			3.4e-11			9.4e-15		2e-13		3.5e-14	5.6e-16	1.8e-16		5.4e-12		1.5e-20				7.3e-12	2.7e-15				1.1e-12	3.6e-14								2.8e-16							5.3e-18		7.2e-13			4.4e-16	3e-11	3.4e-23			5.5e-24				1.4e-20	1.1e-25	1.4e-13	3.6e-22	7.5e-17						1.9e-19
NCVOG0847																																																																									2.4e-11		
NCVOG0868	1.2e-11	1.5e-11		1.1e-12	1.3e-16	1.4e-17			2.9e-13		1.1e-13	1.6e-11	1.4e-18		1.2e-16	1.6e-16	2.8e-12	4.7e-11	1.7e-11			1.1e-11		3.1e-13	1.1e-12		1.2e-11				1.6e-12	1.6e-12	4.1e-11	1.5e-19	1.3e-12	1e-11	1.3e-12	1.1e-13	3.9e-13	1.1e-12	3.3e-11					4.6e-15			1.6e-11		1.1e-13		1.7e-11	7e-12	4.2e-11				1.5e-14	2e-15		1.1e-13	1.4e-14		1.1e-13				1.3e-14		1.5e-11			1.2e-14	
NCVOG0872																																													4.4e-12																												3.3e-12		
NCVOG0873																																																1.4e-11																											
NCVOG0885										5.6e-11																																																																	
NCVOG0890			7.7e-12	2.9e-20					9.1e-19		1.1e-36	9.4e-18	1.5e-24																													5.7e-14							1.6e-35	3e-23		2.7e-25	5.4e-15						9e-35	4.6e-35									1.9e-18						
NCVOG0893				3.7e-11					2.8e-79	3.9e-26	4.4e-11	1.3e-15	8.5e-22	3e-12	4e-14	1.6e-17	5e-14	3.3e-21	4.6e-13	1.2e-15	1.2e-11	2.9e-16	1.1e-38	3e-19		6.1e-21							3.3e-11	1.1e-14							9.2e-18	2.2e-46		3.2e-11	1.6e-52	5.1e-34			2.9e-13	1.3e-18	1.7e-17	1.5e-12	2.2e-22	7.2e-32		6.5e-28	2.6e-17	3.4e-34		5.4e-13	1.1e-35			1.3e-54	1.5e-18	5.3e-54	2.2e-11		1.7e-38	2.3e-56		1e-12		9.1e-12	1.6e-22
NCVOG0897				5.2e-13					6e-18	4.2e-11	8.4e-11				4.8e-14	1.2e-11		3.8e-18	1.7e-17		2.5e-22	1.7e-14				3.1e-11			6.3e-18	2.4e-11															5.2e-37				2.2e-11		5.6e-11	1.3e-13	6e-21					1.9e-26	2.4e-14	1.7e-12	4.2e-13						5.5e-31		7.8e-15	1.2e-13		3.9e-12	1.6e-19	1.1e-13	
NCVOG0898				2.8e-11							1.5e-19		2.5e-17												1.8e-11	3.6e-18					5.5e-13					2.9e-11						5.5e-11	3.7e-15						1.3e-13					3.4e-13				3.1e-11	1.1e-14	1.1e-11		7.7e-17	4.3e-11	1.7e-15			7.7e-18	2.8e-11	1.1e-11	1.6e-13					6.3e-16
NCVOG0899																																																																					3.1e-12						
NCVOG0901	1e-11	2.9e-11	6.1e-13		2.1e-16	3.7e-13			7.1e-20	5.6e-15		3.3e-36	6.8e-27	1.8e-27	5e-12	1.8e-12		2.6e-12		1.1e-11	4.4e-17	3e-14	2.6e-18		1.2e-13	8.2e-12	5.2e-16		1.6e-31	7.8e-30	2.5e-24	1.6e-42	6.2e-46		5.2e-26	1.3e-24	5.6e-25	1.9e-24	3.5e-24	1e-25		1.9e-37	3.2e-17	2.9e-20	1.8e-20	2.9e-22				1.5e-20	3.6e-18		1.4e-13	1.9e-34	6.8e-12	7.6e-15		1.1e-18			5.8e-52		1.9e-28	2.5e-25	5.6e-19	4.7e-23		2e-15	1.9e-50	4.7e-19			1.3e-23	1.4e-11	2e-12
NCVOG0904																																													3.1e-11																														
NCVOG0921																																													1.1e-11			1.2e-11																									1.2e-11		
NCVOG0924	1.4e-13	2.3e-13	2.8e-11										4.5e-12	5.6e-12				1.2e-11			1.2e-11	1.3e-15										4.9e-13	8.6e-16		5.4e-14	4.2e-24	1.6e-13	3.3e-14	1.9e-14	4.5e-16		1.5e-17			1.3e-11	1.6e-12			1.5e-12	4.1e-12	3.1e-11	3.3e-12	2.7e-12		3.9e-13								1.8e-13						2.5e-11			2.2e-15	1.3e-17	1.1e-13	
NCVOG0926																																																											9.2e-12																
NCVOG0934																																																																					4.5e-11						
NCVOG0942																																													2.1e-11																			2.1e-11											
NCVOG0961																																																																									2.2e-11		
NCVOG0967							1.3e-13		3e-11		1.6e-17				1.7e-15			3.2e-11	1.1e-11	3.2e-11	5e-14	6.8e-13							1.7e-18	4e-22	9.5e-12		1.2e-13				4.1e-16					6.6e-11					3.3e-11				4.7e-19							1.4e-13		9e-11	1.6e-11				2e-15	1.1e-11	1.2e-11			1.2e-22					2.3e-12
NCVOG0970																																													2.3e-26								1.9e-19											2.7e-11											
NCVOG0973																																													2.2e-11																														
NCVOG0976	4.9e-13			4.9e-11	9.2e-13	3.7e-11			7.5e-13		2.7e-11	1.4e-12	2.6e-11		1.1e-13	2e-11								4.7e-11	3.8e-14		2.2e-11				1.2e-11	8.3e-11			2e-11										8.6e-11		7.3e-11		3e-12		6.7e-12									2.1e-11		1.4e-11	5.5e-11								8.4e-12				
NCVOG0978																																													4.9e-11																												1.7e-11		
NCVOG0979	3.8e-65	4.5e-63	2.5e-83	4.3e-71	5.3e-55	2.6e-48	1.2e-50		2.5e-44	2e-70	8.7e-70	1.4e-72	1.3e-77	1.8e-78	4.4e-45	5.6e-25	1.2e-46	2.7e-43	1.7e-43	1.7e-11	9.5e-44	4e-43	9.6e-52	1.5e-45	1.1e-66	9.3e-61	1.8e-68		1.5e-67	2.1e-66	6.3e-74	3.2e-80	5.3e-62	1.5e-23	5.3e-41	2.4e-40	4.2e-41	8.2e-41	1.4e-40	4.2e-42	3e-17	1.9e-56	3.6e-51	3.2e-18	1e-91	1.7e-37	1.2e-33	1.2e-34	4.9e-70	1.2e-18	2.7e-44	9.5e-71	1.8e-43	3.5e-12	2.3e-37	1.6e-59	2.7e-43	1.5e-56	2.9e-71	4e-71	1.1e-26	5.4e-70	2.1e-69	3.9e-105		2.2e-61	6.4e-53	2.2e-52	1.2e-33	2.2e-66		1.7e-76	3.3e-67	8.1e-72	2.7e-60
NCVOG0981																						9.4e-13																																																					
NCVOG0984																																													1.4e-11			1.1e-13										1.3e-11						1.6e-11			1.4e-12						1.3e-14		
NCVOG0985			9.5e-14						2.5e-12	6.7e-15		2.7e-11	1.5e-26	1.8e-31	1.3e-11							2.9e-11	3.4e-60			1.9e-15			3.8e-34	1.9e-31	1.1e-13	1.5e-23	2.1e-12								4.1e-30	1e-10	5.1e-12	1.8e-18	4e-16		5.5e-22	3.8e-22		4.2e-14		2.5e-11	2.7e-22	4.8e-36	5.3e-26	2.3e-11	9.5e-11	8.9e-13			2.6e-37	1.3e-14	1.8e-12	3.2e-13	1.2e-12	3.7e-12			1.3e-13	1.1e-17		1.5e-11	1.2e-13		2.8e-20
NCVOG0987		2.4e-11			7.4e-13										3.2e-16	1.4e-17								2.2e-11	1.1e-12								1.5e-12		2.1e-12					8.2e-11					3.4e-13						5.4e-11		5.8e-11		7.6e-11				1.1e-12	1.1e-13		1.2e-11	3.4e-11						7.1e-13					1.6e-12	
NCVOG0992			8.3e-11						1.1e-13	6e-16					4.5e-22										4.9e-15																													2.6e-16		3.3e-12			1.1e-11	1.1e-13		1.2e-16							1.3e-16			5.6e-14			
NCVOG0995									6e-12																																								2.9e-12																				1e-11					7.7e-11	
NCVOG0996				1.1e-13					1.5e-11			2.8e-20			1.8e-13	7.1e-12	1.2e-13	8.8e-15	1.7e-12					2.5e-11		8.4e-11																							1.1e-12				1.2e-14				3.3e-12	1.5e-11	1.1e-12	1.3e-14		7.9e-19			1.2e-17	2.5e-11			2.2e-12	1.3e-15					
NCVOG1004									1.8e-19																																4.8e-16	3.8e-14											1.5e-12	4.3e-12															2.1e-12						
NCVOG1006																				1e-14									4.5e-12	4.6e-12	1.7e-14		5.5e-11									1.8e-14																							2.2e-11	3e-12	1.3e-14		5.8e-12				4e-22		
NCVOG1007																																																								1e-10																			
NCVOG1009	3e-13	1.3e-11		1.7e-13		1.2e-16					1.3e-11	4.1e-19	1.1e-11		2.8e-11	5.6e-12	1.3e-11							1.2e-13	1e-13		7e-11		3.7e-11	3.8e-12			2e-13	3.1e-12	1.9e-12					1.2e-12		2.1e-11							5.5e-11		1.1e-13								3.7e-11	5.1e-12		1.2e-11	3.9e-14		4.9e-11				7.8e-13			1.4e-12		1.4e-11	
NCVOG1013	1.2e-13	3e-19			2.1e-19	1.1e-17	1.1e-12		1.1e-11	1.1e-12		1.1e-14	1.2e-13			1.1e-15							1.1e-11	1.1e-11	1.1e-14		1.1e-12				1.4e-23	1.9e-16		3.9e-13				3e-12					1.2e-11				1e-13	5.7e-51		1.9e-19			1.1e-22	1.2e-12		2.4e-11	1.1e-21						2.4e-11	5.2e-12			1.5e-15	1.1e-15	1.1e-12				2.2e-21		
NCVOG1023																																																																			8.1e-25	1.8e-16							
NCVOG1025																																																1.8e-11																											
NCVOG1038									8e-11																																																												1.9e-11						
NCVOG1044									1.1e-16								3.1e-11	2.3e-11		1.1e-14	2.7e-11			1.1e-13		1.6e-18			1.7e-12	3.7e-11			8.1e-11																9.5e-11	5.9e-11			1.4e-13					1.3e-12			6.6e-11	1.1e-12			2.8e-12	1.5e-13			1.5e-11	1.2e-16					4.5e-11
NCVOG1045	1.1e-15	1.2e-12	4.8e-14	3e-24	6.8e-17	1.4e-14	7.8e-11		2.8e-13	1.1e-11	3.8e-13	5e-16	1.4e-14							1.2e-19				1.1e-11	4.8e-20	2.3e-15			5.1e-25	3.3e-24	3e-15	6.4e-15	1.7e-16								1.3e-15	3.2e-13	1.5e-13						3.5e-13	8.5e-11	3.2e-16		1.5e-15	1.4e-17		1.1e-16		1.4e-17	2.1e-11	1.1e-11	1.5e-12			1.7e-17	1.1e-15	2.9e-12			1.8e-15	1.7e-20		1.2e-12		1.3e-17	3.6e-17
NCVOG1046				3e-11			1.2e-13						1.1e-25																		1.3e-15																		1.1e-12	6e-15									2.3e-11	7.3e-14		1.2e-40							6.4e-11						
NCVOG1047																																													1.4e-11																			5.1e-11											
NCVOG1049	1.6e-18	1e-15	1.1e-30	3.6e-14	6.2e-28	7.4e-11			1.1e-37	1.3e-11	1.1e-14	1.6e-18	4.3e-19	2.8e-17						2.3e-12			3e-17						1.3e-15	2.2e-16	2.1e-14	1e-14	1.6e-15		5.8e-14					9.8e-11	3.4e-38	1.1e-17	7.5e-12	1.6e-20	1.1e-19	3.5e-37		1.8e-17	1.5e-11	1.3e-15		1.8e-13	2.5e-12	1.2e-13	2.7e-11	2.1e-12		1.7e-18	2.4e-16		1.2e-11			1.3e-14	1.2e-17	1.8e-22	1.2e-37	1.8e-14	1.1e-12	1.2e-17		1.9e-15	1.1e-41	1.6e-12	3.3e-12
NCVOG1056	1.1e-11	5.5e-11										1.1e-12	1.1e-11											2.3e-12			2.8e-13																							1.3e-11	4.6e-12											4.1e-11													
NCVOG1060	2.3e-19	2.8e-18	1.3e-11			3.2e-27			1.5e-11			6.9e-24	9.9e-21	1.1e-11	5.7e-14		1e-20	8.5e-22	3.5e-12	2.4e-11	2.1e-11	4.8e-12							5.1e-20	8.8e-20		8.1e-20	1.8e-21														2.3e-14				2.5e-15		1.4e-19	9.1e-23				5.3e-21			2.2e-27		2.4e-12		2.7e-22	2.2e-21		3.5e-12	1.2e-22	7.1e-18			5.7e-12		
NCVOG1061												1.1e-12	1.9e-13	9.7e-15						5.3e-11																									1.9e-14																	2.5e-11										3.1e-11			
NCVOG1062				1.1e-13	6.6e-12				3e-13		7.9e-11		1.1e-15	2e-12	1.1e-17	2.8e-15		2.2e-11		4.2e-12	1.3e-14		1.2e-15	1.2e-12			1.1e-20	2.7e-17	2.6e-14													1.3e-16	3.8e-13	1e-11						2.6e-14			2.3e-17			5.8e-13		1.4e-17	1.1e-12	1.1e-12		1.3e-11		1.1e-11	1.2e-18				5.3e-21		1.9e-17				1.4e-12
NCVOG1064									1.3e-11	5.3e-19								1.6e-13	2.1e-15		1.7e-14	1.2e-12																							1.6e-18			8.7e-18		1.9e-14			1.1e-13					1.8e-16											4.1e-12				3.6e-11		
NCVOG1066					1.6e-21	1.5e-11				5.3e-20							2.2e-19							1.4e-19					1.3e-13	8.6e-14	1.6e-15	1.5e-13	1.4e-13		2e-13		2.4e-13	3.9e-12	2.5e-11	2.1e-14			8.8e-11		2.1e-23																	2.2e-18						1.3e-12	1.6e-18				3.5e-13	1.4e-15	
NCVOG1067			5.2e-12																																																																								
NCVOG1068	2.2e-14	2.7e-13	1.3e-14	8.6e-11	3.4e-12	6.9e-19	1.4e-20		4.1e-32	1.1e-15	1.8e-16	1.6e-23	2.6e-33	2.1e-33			4.4e-11					3.9e-12	2.8e-18	1.4e-23	2.5e-11	1.5e-15						4.4e-26	1.9e-41		1.1e-28						1.1e-15	1.8e-25	1.9e-12		1.5e-30		1.3e-29	1.5e-18		2.6e-15			3.7e-22	2.4e-23		3.6e-18	1.4e-11	1.1e-12	2.9e-19	2.6e-18		8.6e-20		7.2e-17		2.2e-18			1.2e-12			7.3e-13		4.4e-11	2.3e-24
NCVOG1069									1.9e-12	8.2e-17	1.6e-16					1.3e-11	1.5e-11	1.4e-18	1.4e-13	1.3e-22	7.3e-16	5.7e-16		1.8e-11					3.6e-13	6.4e-13	4.2e-20	2e-16	1.4e-18		4e-18	1.2e-15	4.6e-18	7.2e-17	5.9e-17	1.7e-18		1.2e-13			2.5e-16	3.7e-19				2.1e-12		3.3e-15	1.4e-25	1.5e-14			1.1e-17	1.9e-12			8.8e-11		6.4e-19	5e-24	1e-18	1.4e-17		4.9e-18	1.3e-14	1.1e-15	2.2e-12		1.6e-35		1.5e-18
NCVOG1073																																													5.3e-12																														
NCVOG1074																																							3e-11	8.8e-13																											4.1e-18								
NCVOG1075																															4.1e-12																		8.3e-11																			1.1e-12							
NCVOG1084																						4.6e-19																																																					
NCVOG1087										3e-11																																																																	
NCVOG1090																																													1.1e-11																														
NCVOG1097																																																1.2e-15																											
NCVOG1100		8.3e-22	1e-21				1.5e-18					4.3e-25																																																								9.9e-14							
NCVOG1108										2.9e-11																																																																	
NCVOG1115	5.1e-12	3.9e-11		3.1e-16	1.8e-33	4.3e-41			3.1e-11		5.4e-11	3.9e-44			1.2e-37	7.8e-23		8.9e-40	3.6e-48		6.4e-47	3.8e-38	7.4e-23	2.5e-24		1.9e-18			6.6e-29	3.6e-30	5.3e-35	5.6e-40	3.2e-38		1.2e-35	5.3e-33	7.1e-33	2e-32	6.6e-33	1.9e-34		2.2e-45	5.6e-36		1.3e-60	1.2e-19	8e-18	1e-17	1.2e-14			3.8e-12	1.8e-42			1e-31	9.3e-24		1.7e-19	1.1e-11			1.4e-28				1e-15	1e-12	1.3e-32			1.6e-37	5.1e-50	1.7e-39	2.1e-24
NCVOG1117																																										2.6e-13																											2.4e-11						
NCVOG1120				1.2e-11		1.5e-11	5.6e-11					1.2e-12	9.1e-11		7.3e-12		8e-11										5.7e-11																						2.5e-11		9.2e-11								1.4e-11	2.7e-15		2.3e-15									7.8e-11				
NCVOG1121	1.5e-16	3.9e-11		1.1e-11	2.3e-11	1.4e-11	2.7e-13		7.2e-18				1.4e-15	4e-12	3.3e-12	1.1e-11	1.2e-11							2.6e-14			1.6e-12				1.1e-12				1.2e-11	7.5e-11	4.5e-13		1.6e-12	9.6e-14	2.9e-12		2.2e-12											8e-21	2.7e-12				1.1e-12	1.1e-17		1e-17	7.9e-19		1.3e-11		4.8e-20	2.4e-21	3.4e-17		1.2e-11	3e-17			
NCVOG1127			2e-13	5.9e-11	6.6e-19		1.7e-19		2.8e-25	2.3e-22	1.1e-12		6.7e-25			6.5e-24							1.9e-26	4.1e-21	5.7e-20	5.2e-26					2.1e-15	7.4e-17	1.3e-18		6e-15	1.1e-14	3.2e-15	1.6e-14	1.6e-14	4.7e-16		2e-23		4.5e-11	1.5e-28	6e-19				2.1e-33			1.8e-22	1.4e-13	2.3e-12	2.4e-22	1.9e-17			2.4e-11		4e-15	6.8e-17	1.7e-23		1.9e-13	1.3e-16	2.4e-14	1.2e-19			6.7e-15	6.7e-14	2.7e-16	
NCVOG1128					1.5e-13				2.1e-21	2.1e-12		7.6e-11				2.9e-13	1.3e-11	1.8e-11		1.3e-12					1.7e-13						6.2e-11										2e-11	1.4e-16				3.1e-12				1.1e-21	1.1e-13		1.7e-15	2.1e-12							4.4e-12			4.1e-13		1.4e-11		1.8e-11	1.3e-21	1.1e-11		7.8e-12		7.2e-11	
NCVOG1130									1.1e-12																																													4.3e-17															1.4e-15						
NCVOG1136	2.2e-47	7.1e-47	1.3e-55	1.2e-48	7.4e-43	7.3e-20	1.3e-40		2.9e-69	2e-56	2.4e-47	3e-48	7.3e-50	2.1e-50	3.4e-12		1.6e-15	7.9e-17		1.1e-16	2.5e-20	1.5e-67	2.3e-96	2.3e-24	1.2e-45	1.2e-27	1.2e-40		1.1e-19	1.3e-19	4.5e-36	7.9e-76	2.6e-71	2.3e-38	1.4e-66	2.4e-42	8e-48	1.8e-47	5.9e-48	2.6e-49	9.5e-35	2.6e-46	3.1e-38	2.1e-29	2.2e-38	1.1e-11	9.4e-12	8.8e-12	1.2e-48	1.2e-15	2.3e-13	3.9e-46	1.8e-19	3e-12	5.4e-46	3.6e-20	5.1e-16	4.6e-40	5.3e-49	2.7e-51	1.3e-22	1.1e-74	5.5e-66	1.1e-59	5.3e-13	1.4e-18	2.5e-25	1.1e-60	1.2e-106	1.6e-18		1.4e-28	3.2e-68	6.8e-45	4.7e-22
NCVOG1137		1.2e-15	5e-21				2.2e-23															8.6e-38											1.7e-25																													8.4e-20		1.5e-17				5.9e-30		9e-25					
NCVOG1139	1.5e-14			1.3e-12									5.9e-14		1.2e-13		5.2e-12		4.6e-11					1.3e-14	1.2e-11		1.5e-12					1.7e-11		2.3e-12						8.9e-13	4e-11								3.1e-11		6.6e-11			1.5e-11					1.1e-13	1.1e-20			3.9e-14		1.1e-11				3.6e-11					1.5e-12	
NCVOG1149																																										3e-14												1.4e-17															1.3e-14						
NCVOG1154				2e-11																		1.6e-11									1.4e-17			8.1e-18																2.3e-22							2.8e-11		1.2e-12	1e-18				3.1e-11											
NCVOG1155	1.9e-12	1.1e-11											1.2e-12			4.2e-17															1.5e-11																	1.2e-11	1.4e-11									2e-11		4.1e-12															
NCVOG1157									2.1e-12																																																												1.3e-11						
NCVOG1164							4.4e-15														2.7e-11	2.3e-16																												2.8e-12												1.2e-16		1.2e-11											
NCVOG1175		2.5e-17	1.4e-16				1.6e-11			1.4e-22								1.8e-13			3.3e-27	1.9e-28		1.2e-15										1.3e-11	7e-13	2.5e-11											1.4e-17	1.1e-19		1.2e-21			1.2e-17								3.5e-22			1.1e-12		3.6e-14	2.8e-13	1.5e-24		2.3e-16					
NCVOG1178																															2.1e-13																												3e-12	1.6e-12															
